Medal,Gold
,
Row Labels,Sum of gpct
AUS,2.93
2002,1.23
2006,0.57
2010,1.14
AUT,88.09
1924,7.89
1932,3.03
1936,2.78
1948,2.17
1952,4.44
1956,9.80
1960,2.00
1964,8.33
1968,4.55
1972,1.43
1976,2.86
1980,4.17
1988,3.41
1992,8.33
1994,1.75
1998,2.01
2002,1.84
2006,9.09
2010,6.25
2014,1.94
BEL,4.35
1948,4.35
BLR,3.00
2010,0.57
2014,2.43
BUL,0.67
1998,0.67
CAN,333.98
1924,23.68
1928,40.00
1932,42.42
1948,39.13
1952,35.56
1960,6.00
1964,6.67
1968,1.52
1976,1.43
1984,2.70
1992,4.63
1994,2.63
1998,9.40
2002,32.52
2006,16.48
2010,38.64
2014,30.58
CHN,8.93
2002,1.23
2006,1.14
2010,5.11
2014,1.46
CRO,2.41
2002,1.84
2006,0.57
CZE,18.05
1998,14.77
2002,0.61
2006,0.57
2010,1.14
2014,0.97
ESP,1.43
1972,1.43
EST,2.32
2002,0.61
2006,1.70
EUA,14.96
1956,1.96
1960,8.00
1964,5.00
EUN,33.33
1992,33.33
FIN,107.22
1924,10.53
1928,6.67
1932,3.03
1936,11.11
1948,2.17
1952,13.33
1956,9.80
1960,10.00
1964,5.00
1968,1.52
1976,7.14
1980,1.39
1984,5.41
1988,7.95
1992,5.56
1998,1.34
2002,4.29
2014,0.97
FRA,45.09
1928,6.67
1932,6.06
1948,4.35
1960,2.00
1964,5.00
1968,6.06
1988,1.14
1992,4.63
1998,1.34
2002,3.07
2006,1.70
2010,1.14
2014,1.94
FRG,37.98
1952,17.78
1968,3.03
1972,5.71
1976,2.86
1984,4.05
1988,4.55
GBR,69.58
1924,21.05
1936,33.33
1952,2.22
1964,3.33
1976,1.43
1980,1.39
1984,2.70
2002,3.07
2010,0.57
2014,0.49
GDR,78.47
1968,3.03
1972,7.14
1976,17.14
1980,22.22
1984,17.57
1988,11.36
GER,99.45
1936,11.11
1992,12.96
1994,15.79
1998,14.77
2002,15.95
2006,13.07
2010,8.52
2014,7.28
ITA,59.28
1948,2.17
1952,2.22
1956,3.92
1968,12.12
1972,4.29
1976,1.43
1984,2.70
1988,2.27
1992,3.70
1994,13.16
1998,2.01
2002,2.45
2006,6.25
2010,0.57
JPN,13.26
1972,1.43
1992,2.78
1994,2.63
1998,5.37
2006,0.57
2014,0.49
KAZ,0.88
1994,0.88
KOR,33.50
1992,4.63
1994,7.02
1998,4.03
2002,3.07
2006,7.95
2010,3.41
2014,3.40
LIE,2.78
1980,2.78
NED,34.56
1964,1.67
1968,4.55
1972,5.71
1976,1.43
1980,1.39
1988,3.41
1992,0.93
1998,3.36
2002,1.84
2006,1.70
2010,2.27
2014,6.31
NOR,195.24
1924,10.53
1928,20.00
1932,9.09
1936,19.44
1948,8.70
1952,15.56
1956,3.92
1960,6.00
1964,5.00
1968,16.67
1972,2.86
1976,4.29
1980,1.39
1984,8.11
1992,11.11
1994,8.77
1998,10.74
2002,14.11
2006,1.14
2010,9.09
2014,8.74
POL,3.94
1972,1.43
2010,0.57
2014,1.94
RUS,58.26
1994,16.67
1998,9.40
2002,3.68
2006,9.09
2010,3.41
2014,16.02
SLO,0.97
2014,0.97
SUI,103.01
1924,21.05
1936,11.11
1948,8.70
1956,11.76
1960,4.00
1972,10.00
1976,1.43
1980,2.78
1984,2.70
1988,9.09
1992,1.85
1994,3.51
1998,4.03
2002,1.84
2006,2.84
2010,3.41
2014,2.91
SVK,1.05
2010,0.57
2014,0.49
SWE,136.84
1924,2.63
1928,6.67
1932,3.03
1936,5.56
1948,15.22
1956,3.92
1960,10.00
1964,10.00
1968,4.55
1972,1.43
1980,4.17
1984,9.46
1988,7.95
1992,0.93
1994,20.18
2006,20.45
2010,6.82
2014,3.88
TCH,2.94
1968,1.52
1972,1.43
UKR,2.82
1994,0.88
2014,1.94
URS,369.20
1956,50.98
1960,14.00
1964,48.33
1968,39.39
1972,51.43
1976,54.29
1980,25.00
1984,39.19
1988,46.59
USA,228.35
1924,2.63
1928,20.00
1932,33.33
1936,5.56
1948,13.04
1952,8.89
1956,3.92
1960,38.00
1964,1.67
1968,1.52
1972,4.29
1976,4.29
1980,33.33
1984,5.41
1988,2.27
1992,4.63
1994,5.26
1998,16.78
2002,6.75
2006,5.11
2010,6.82
2014,4.85
UZB,0.88
1994,0.88
Grand Total,2200.00
